iter	Passed	Remaining
664	11574	5830
665	11583	5808
666	11597	5789
667	11612	5771
668	11627	5752
669	11641	5733
670	11651	5712
671	11664	5693
672	11675	5673
673	11684	5651
674	11695	5631
675	11711	5612
676	11728	5595
677	11748	5579
678	11779	5568
679	11792	5549
680	11805	5530
681	11814	5509
682	11826	5488
683	11839	5469
684	11850	5449
685	11868	5432
686	11877	5411
687	11889	5391
688	11905	5373
689	11917	5354
690	11932	5336
691	11943	5315
692	11956	5296
693	11969	5277
694	11999	5265
695	12010	5245
696	12021	5226
697	12035	5207
698	12047	5187
699	12056	5167
700	12069	5147
701	12081	5128
702	12112	5117
703	12137	5103
704	12159	5088
705	12180	5072
706	12195	5054
707	12211	5036
708	12226	5018
709	12237	4998
710	12253	4980
711	12267	4962
712	12279	4942
713	12293	4924
714	12302	4903
715	12320	4887
716	12338	4870
717	12361	4855
718	12397	4845
719	12432	4834
720	12462	4822
721	12492	4810
722	12511	4793
723	12539	4780
724	12559	4763
725	12575	4746
726	12593	4728
727	12607	4710
728	12622	4692
729	12638	4674
730	12655	4656
731	12668	4638
732	12679	4618
733	12692	4599
734	12704	4580
735	12719	4562
736	12730	4542
737	12741	4523
738	12756	4505
739	12768	4486
740	12778	4466
741	12805	4452
742	12824	4436
743	12841	4418
744	12854	4399
745	12867	4381
746	12888	4365
747	12901	4346
748	12921	4330
749	12936	4312
750	12951	4294
751	12966	4276
752	12994	4262
753	13011	4245
754	13030	4228
755	13046	4210
756	13060	4192
757	13071	4173
758	13084	4154
759	13094	4135
760	13104	4115
761	13117	4096
762	13127	4077
763	13138	4058
764	13149	4039
765	13158	4019
766	13166	3999
767	13179	3981
768	13190	3962
769	13201	3943
770	13212	3924
771	13227	3906
772	13240	3888
773	13251	3869
774	13261	3850
775	13273	3831
776	13286	3813
777	13295	3793
778	13307	3775
779	13319	3756
780	13330	3737
781	13340	3718
782	13351	3700
783	13363	3681
784	13385	3666
785	13399	3648
786	13416	3631
787	13432	3613
788	13453	3597
789	13467	3580
790	13482	3562
791	13492	3543
792	13503	3524
793	13514	3506
794	13526	3487
795	13538	3469
796	13551	3451
797	13565	3433
798	13575	3415
799	13587	3396
800	13599	3378
801	13610	3360
802	13621	3341
803	13633	3323
804	13644	3305
805	13656	3286
806	13669	3269
807	13679	3250
808	13694	3233
809	13703	3214
810	13716	3196
811	13727	3178
812	13738	3160
813	13748	3141
814	13767	3125
815	13783	3108
816	13810	3093
817	13827	3076
818	13844	3059
819	13859	3042
820	13872	3024
821	13884	3006
822	13896	2988
823	13911	2971
824	13925	2953
825	13936	2935
826	13948	2917
827	13961	2900
828	13973	2882
829	13989	2865
830	14020	2851
831	14033	2833
832	14045	2815
833	14059	2798
834	14071	2780
835	14086	2763
836	14100	2746
837	14111	2727
838	14122	2710
839	14143	2693
840	14157	2676
841	14170	2659
842	14183	2641
843	14194	2623
844	14204	2605
845	14216	2587
846	14228	2570
847	14239	2552
848	14253	2534
849	14264	2517
850	14273	2499
851	14288	2482
852	14304	2465
853	14317	2447
854	14329	2430
855	14345	2413
