정류소아이디,모바일아이디,정류소명,영문명,시도,구군,동,경도,위도,경유노선수,경유노선
7051001400,5188,대명역(2번출구),Daemyeong Station,대구광역시,남구,대명6동,128.563935,35.83903333,8,"306, 518, 564, 600, 623, 649, 651, 서구1-1"
7051001500,2354,대구시설공단앞,Daegu Infrastructure Corporation,대구광역시,남구,대명10동,128.560395,35.838325,8,"306, 518, 564, 600, 623, 649, 651, 서구1"
7051001600,2143,대구시설공단건너,Daegu Infrastructure Corporation,대구광역시,남구,대명11동,128.5605333,35.83817,8,"306, 518, 564, 600, 623, 649, 651, 서구1-1"
7051001700,589,성명119안전센터건너1,Seongmyeong 119 Center,대구광역시,남구,대명11동,128.558555,35.83317167,2,"남구1, 달성2"
7051001800,586,성명119안전센터앞,Seongmyeong 119 Center,대구광역시,남구,대명11동,128.5592283,35.83314833,3,"750, 남구1-1, 달성2"
7051001900,5553,한마음주유소앞,Hanmaeum Gas Station,대구광역시,남구,대명11동,128.5606267,35.83398833,3,"750, 남구1-1, 달성2"
7051002000,588,한마음주유소건너,Hanmaeum Gas Station,대구광역시,남구,대명11동,128.5613117,35.834335,2,"750, 남구1"
7051002100,772,대명6동행정복지센터건너,Daemyeong 6-dong Community Service Center,대구광역시,남구,대명6동,128.5655518,35.83482925,2,"750, 남구1-1"
7051002200,5211,대명6동행정복지센터앞,Daemyeong 6-dong Community Service Center,대구광역시,남구,대명6동,128.5657887,35.83494012,2,"750, 남구1"
7051002300,773,대덕천주교회1,Daedeok Catholic Church,대구광역시,남구,대명6동,128.5701267,35.83488333,2,"750, 남구1-1"
7051002400,769,대덕천주교회2,Daedeok Catholic Church,대구광역시,남구,대명6동,128.5706333,35.83491333,2,"750, 남구1"
7051002500,764,대덕천주교회3,Daedeok Catholic Church,대구광역시,남구,대명9동,128.57138,35.83453167,2,"410, 달서4-1"
7051002700,763,앞산별자리체험학습장1,Apsan Contellation Experiential Learning Place,대구광역시,남구,대명9동,128.5713967,35.83287167,2,"410, 달서4-1"
7051002800,766,대덕천주교회4,Daedeok Catholic Church,대구광역시,남구,대명6동,128.57132,35.83534833,3,"410-1, 600, 달서4"
7051002900,5070,KT남대구지사앞2,KT Namdaegu District Office,대구광역시,남구,대명9동,128.5714017,35.83762,3,"410, 600, 달서4-1"
7051003000,1630,KT남대구지사건너2,KT Namdaegu District Office,대구광역시,남구,대명6동,128.5713717,35.83860833,3,"410-1, 600, 달서4"
7051003100,2178,대명역(1번출구),Daemyeong Station,대구광역시,남구,대명10동,128.565175,35.83936333,8,"306, 518, 564, 600, 623, 649, 651, 서구1"
7051003200,2179,대명초등학교앞,Daemyeong Elementary School,대구광역시,남구,대명6동,128.567725,35.83934333,8,"306, 518, 564, 600, 623, 649, 651, 서구1-1"
7051003300,2177,대명초등학교건너,Daemyeong Elementary School,대구광역시,남구,대명10동,128.5686067,35.83953167,8,"306, 518, 564, 600, 623, 649, 651, 서구1"
7051003400,2180,KT남대구지사앞1,KT Namdaegu District Office,대구광역시,남구,대명9동,128.5721917,35.83925,9,"306, 410, 518, 564, 623, 649, 651, 달서4-1, 서구1-1"
7051003500,2175,KT남대구지사건너1,KT Namdaegu District Office,대구광역시,남구,대명10동,128.57256,35.83939167,7,"306, 518, 564, 623, 649, 651, 서구1"
7051003600,648,안지랑네거리1,Anjirang (4) Junction,대구광역시,남구,대명9동,128.5753083,35.83900333,7,"306, 410, 518, 564, 649, 651, 달서4-1"
7051003700,2174,안지랑네거리2,Anjirang (4) Junction,대구광역시,남구,대명10동,128.57526,35.839215,9,"306, 410-1, 518, 564, 623, 649, 651, 달서4, 서구1"
7051003800,5071,대명9동행정복지센터앞,Daemyeong 9-dong Community Service Center,대구광역시,남구,대명9동,128.5796779,35.83755528,2,"300, 남구1"
7051003900,755,대명9동행정복지센터건너,Daemyeong 9-dong Community Service Center,대구광역시,남구,대명9동,128.5798982,35.83821867,2,"300, 남구1-1"
7051004000,5212,남명삼거리1,Nammyeong (3) Junction,대구광역시,남구,대명9동,128.5786983,35.83554167,3,"600, 750, 남구1"
7051004100,758,남명삼거리2,Nammyeong (3) Junction,대구광역시,남구,대명9동,128.577845,35.83551667,3,"600, 750, 남구1-1"
7051004200,767,룸비니유치원건너,Lumbini Kindergarten,대구광역시,남구,대명9동,128.5740483,35.83528167,3,"600, 750, 남구1"
7051004300,768,룸비니유치원앞,Lumbini Kindergarten,대구광역시,남구,대명9동,128.5741467,35.83527833,3,"600, 750, 남구1-1"
7051004400,759,현충삼거리1,Hyeonchung (3) Junction,대구광역시,남구,대명9동,128.5794883,35.83374167,3,"300, 600, 750"
7051004500,760,대명중학교앞,Daemyeong Middle School,대구광역시,남구,대명9동,128.5785383,35.83240833,3,"410, 달서4, 달서4-1"
7051004600,761,대덕문화전당건너,Daeduk Culture Center,대구광역시,남구,대명9동,128.5759267,35.83227,3,"410, 달서4, 달서4-1"
7051004700,762,안지랑골입구건너,Anjiranggol,대구광역시,남구,대명9동,128.5740184,35.8314035,3,"410, 달서4, 달서4-1"
7051004800,775,앞산자락카페마실앞,Apsan Jarak Cafe Masil,대구광역시,남구,대명6동,128.5688307,35.83212143,2,"410-1, 달서4"
7051004900,781,안지랑골입구,Anjiranggol,대구광역시,남구,대명6동,128.5737202,35.83051172,3,"410-1, 달서4, 달서4-1"
7051005000,4724,대명중학교건너,Daemyeong Middle School,대구광역시,남구,대명9동,128.5793267,35.83244167,3,"410-1, 달서4, 달서4-1"
7051005100,2293,남부도서관앞,Nambu Public Library,대구광역시,남구,대명9동,128.581335,35.83284333,6,"300, 410-1, 600, 750, 달서4, 달서4-1"
7051005200,783,충혼탑앞,Chunghontap,대구광역시,남구,대명9동,128.5851483,35.83307833,6,"300, 410-1, 600, 750, 달서4, 달서4-1"
7051005300,753,충혼탑건너,Chunghontap,대구광역시,남구,대명9동,128.584565,35.83329833,6,"300, 410, 600, 750, 달서4, 달서4-1"
7051005400,9257,대구차여성병원앞,Daegu CHA Woman's hospital,대구광역시,남구,대명1동,128.5752923,35.84016382,4,"503, 623, 서구1-1, 순환3"
7051005500,638,대구차여성병원건너,Daegu CHA Woman's hospital,대구광역시,남구,대명10동,128.5741233,35.84069,4,"503, 623, 서구1, 순환3-1"
7051005600,9136,대명1동행정복지센터앞,Daemyeong 1-dong Community Service Center,대구광역시,남구,대명1동,128.5727131,35.84191405,4,"503, 623, 서구1-1, 순환3"
7051005700,637,대명1동행정복지센터건너,Daemyeong 1-dong Community Service Center,대구광역시,남구,대명10동,128.5717354,35.84228743,4,"503, 623, 서구1, 순환3-1"
7051005800,2558,대구가톨릭대학병원건너,Daegu Catholic University Medical Center,대구광역시,남구,대명4동,128.5693767,35.84451333,4,"503, 623, 서구1-1, 순환3"
7051005900,2559,대구가톨릭대학병원앞,Daegu Catholic University Medical Center,대구광역시,남구,대명4동,128.5691317,35.84454833,4,"503, 623, 서구1, 순환3-1"
7051006000,742,두리봉네거리2,Duribong Junction,대구광역시,남구,대명10동,128.5588033,35.83921333,6,"609, 618, 650, 706, 836, 남구1"
7051006100,2617,문화예술회관건너,Culture and Arts Center,대구광역시,남구,대명10동,128.5606667,35.84170333,7,"609, 618, 650, 706, 805, 836, 남구1"
7051006200,5008,문화예술회관앞,Culture and Arts Center,대구광역시,달서구,성당1동,128.5610717,35.84239,7,"609, 618, 650, 706, 805, 836, 남구1-1"
7051006300,629,두류수영장건너,Duryu Swimming Pool,대구광역시,남구,대명4동,128.5645733,35.84544333,8,"609, 618, 650, 706, 805, 836, 급행6, 남구1"
7051006400,5007,두류수영장앞,Duryu Swimming Pool,대구광역시,달서구,성당1동,128.56482,35.84576,8,"609, 618, 650, 706, 805, 836, 급행6, 남구1-1"
7051006500,628,문성병원앞,Munseong hospital,대구광역시,남구,대명4동,128.5687467,35.84808333,8,"609, 618, 650, 706, 805, 836, 남구1, 서구1-1"
7051006600,5217,문성병원건너,Munseong hospital,대구광역시,달서구,성당1동,128.5687533,35.84824833,8,"609, 618, 650, 706, 805, 836, 남구1-1, 서구1"
7051006700,2184,성당시장앞2,Seongdang Market,대구광역시,남구,대명4동,128.5725433,35.850365,7,"609, 618, 650, 706, 805, 836, 남구1"
7051006800,612,성당시장건너,Seongdang Market,대구광역시,달서구,성당1동,128.57224,35.85033167,8,"609, 618, 650, 706, 805, 836, 남구1-1, 서구1"
7051006900,1026,굿모닝병원앞,Goodmorning hospital,대구광역시,남구,대명3동,128.5739083,35.85328333,7,"618, 650, 706, 805, 808, 836, 달서4"
7051007000,5213,대명사회복지관앞,Daemyeong Social Welfare Center,대구광역시,남구,대명4동,128.5757296,35.85098627,2,"609, 남구1"
7051007100,5214,대명사회복지관건너,Daemyeong Social Welfare Center,대구광역시,남구,대명3동,128.5765457,35.85105123,3,"609, 808, 남구1-1"
7051007200,5215,계명대대명캠퍼스후문건너,Keimyung University Daemyeong Campus,대구광역시,남구,대명3동,128.5798467,35.85164667,2,"609, 남구1"
7051007300,5216,계명대학교대명캠퍼스후문앞,Keimyung University Daemyeong Campus,대구광역시,남구,대명3동,128.5803767,35.85188,3,"609, 808, 남구1-1"
7051007400,5073,대구여자상업고등학교건너,Daegu Girls Commercial High School,대구광역시,남구,대명3동,128.5813633,35.85082965,5,"300, 306, 518, 651, 달서4"
7051007500,5072,대구여자상업고등학교앞,Daegu Girls Commercial High School,대구광역시,남구,대명3동,128.5812018,35.85017193,5,"300, 306, 518, 651, 달서4-1"
7051007600,630,영남이공대학건너,Yeungnam College of Science and Technology,대구광역시,남구,대명1동,128.5800283,35.846275,5,"300, 306, 518, 651, 달서4"
7051007700,605,영남이공대학앞,Yeungnam College of Science and Technology,대구광역시,남구,대명5동,128.580065,35.84642167,5,"300, 306, 518, 651, 달서4-1"
7051007800,631,대구교통방송건너,Daegu TBN,대구광역시,남구,대명1동,128.5799383,35.84177667,5,"300, 306, 518, 651, 달서4"
7051007900,606,대구교통방송앞,Daegu TBN,대구광역시,남구,대명5동,128.5800017,35.84208167,5,"300, 306, 518, 651, 달서4-1"
7051008000,2181,현충로역(3번출구),Hyeonchungno Station,대구광역시,남구,대명9동,128.58233,35.84127833,6,"410, 503, 564, 649, 남구1-1, 순환3-1"
7051008100,2173,현충로역(4번출구),Hyeonchungno Station,대구광역시,남구,대명5동,128.581775,35.84123667,6,"410-1, 503, 564, 649, 남구1, 순환3"
7051008200,9137,영대병원역(3번출구),Yeungnam University hospital Station,대구광역시,남구,대명5동,128.5891301,35.8447903,6,"410-1, 503, 564, 649, 남구1, 순환3"
7051008300,649,대명5동행정복지센터앞,Daemyeong 5-dong Community Service Center,대구광역시,남구,대명5동,128.587122,35.84359017,3,"410, 503, 649"
7051008400,5192,영대병원역,Yeungnam University hospital Station,대구광역시,남구,대명5동,128.5883767,35.84425167,3,"564, 남구1-1, 순환3-1"
7051008500,2204,대구고등학교건너,Daegu High School,대구광역시,남구,대명5동,128.5905317,35.84668833,5,"349, 405, 410, 503, 649"
7051008600,2223,대구고등학교앞,Daegu High School,대구광역시,남구,대명5동,128.590395,35.8473,5,"349, 405, 410-1, 503, 649"
7051008700,2206,대구교육대건너,National University of Education,대구광역시,남구,대명2동,128.5907467,35.85064,5,"349, 405, 410, 503, 649"
7051008800,2222,대구교육대앞,National University of Education,대구광역시,남구,대명2동,128.5904667,35.85173,5,"349, 405, 410-1, 503, 649"
7051008900,9209,봉덕1동행정복지센터건너,Bongdeok1-dong Community Service Center,대구광역시,남구,봉덕3동,128.5942809,35.84500325,5,"349, 405, 564, 남구1-1, 순환3-1"
7051009000,1900,봉덕1동행정복지센터앞,Bongdeok1-dong Community Service Center,대구광역시,남구,봉덕1동,128.5951084,35.84513238,5,"349, 405, 564, 남구1, 순환3"
7051009100,2182,남구청건너2,Nam District Office2,대구광역시,남구,봉덕3동,128.5973294,35.844808,5,"349, 405, 564, 남구1-1, 순환3-1"
7051009200,3140,대덕맨션앞,Daedeok Mansion,대구광역시,남구,봉덕3동,128.59655,35.83402167,1,730
7051009300,1631,앞산보성타운건너,Apsan Boseong Town,대구광역시,남구,봉덕3동,128.5950183,35.83579167,1,730
7051009400,1632,앞산태왕아너스건너,Apsan Taewang Honors,대구광역시,남구,봉덕3동,128.5952217,35.83718333,1,730
7051009500,2073,대백프라자건너,Debec Plaza,대구광역시,남구,이천동,128.6057233,35.85495333,5,"234, 304, 323-1, 509, 순환2-1"
7051009600,420,대봉네거리1,Daebong Junction,대구광역시,남구,이천동,128.602595,35.85439833,3,"240, 401, 730"
7051009700,433,대봉네거리2,Daebong Junction,대구광역시,남구,이천동,128.6027517,35.854045,3,"240, 401, 730"
7051009800,2167,대봉교회,Daebong Church,대구광역시,남구,이천동,128.6008183,35.8553,5,"234, 304, 509, 730, 순환2-1"
7051009900,1032,상수도중남부사업소건너,Waterworks HQ Jung-Nambu Branch,대구광역시,남구,이천동,128.59855,35.85289333,2,"204, 남구1-1"
7051010000,1034,상수도중남부사업소앞,Waterworks HQ Jung-Nambu Branch,대구광역시,남구,이천동,128.598445,35.85387,2,"204, 남구1"
7051010100,5199,미8군후문앞,EUSA,대구광역시,남구,이천동,128.5981367,35.85116,2,"204, 남구1-1"
7051010200,1011,미8군후문건너,EUSA,대구광역시,남구,이천동,128.597965,35.85064333,2,"204, 남구1"
7051010400,423,이천새마을금고건너,Icheon Community Credit Cooperative,대구광역시,남구,이천동,128.6042633,35.84689667,3,"240, 401, 730"
7051010500,422,이천치안센터건너,Icheon Police Operations Center,대구광역시,남구,이천동,128.6040033,35.84810167,3,"240, 401, 730"
7051010600,431,대구중학교앞,Daegu Middle School,대구광역시,남구,이천동,128.6034917,35.85073833,3,"240, 401, 730"
7051010700,421,대구중학교건너,Daegu Middle School,대구광역시,남구,이천동,128.6032917,35.85103167,3,"240, 401, 730"
7051010800,2956,봉덕시장앞2,Bongdeok Market,대구광역시,남구,봉덕1동,128.60396,35.84516,3,"240, 401, 730"
7051010900,429,봉덕시장건너3,Bongdeok Market,대구광역시,남구,봉덕1동,128.6040133,35.84558833,3,"240, 401, 730"
7051011000,428,봉덕교회앞,Bongdeok Church,대구광역시,남구,봉덕2동,128.604075,35.843375,4,"401, 405, 564, 730"
7051011100,426,봉덕교회건너,Bongdeok Church,대구광역시,남구,봉덕2동,128.604215,35.842445,4,"401, 405, 564, 730"
7051011200,607,봉덕2동새마을금고건너,Bongdeok 2-dong Community Credit Cooperative,대구광역시,남구,봉덕2동,128.6038261,35.84175487,1,730
7051011300,609,봉덕2동새마을금고앞,Bongdeok 2-dong Community Credit Cooperative,대구광역시,남구,봉덕2동,128.6033217,35.8419516,1,730
7051011400,604,명보약국앞,Myeongbo Pharmacy,대구광역시,남구,봉덕3동,128.60029,35.84227167,1,730
7051011500,2176,남구청네거리1,Nam District Office (4) Junction,대구광역시,남구,봉덕1동,128.5997933,35.84482167,2,"405, 564"
7051011600,442,봉덕시장건너2,Bongdeok Market,대구광역시,남구,봉덕2동,128.6019917,35.84456333,1,240
7051011700,2172,봉덕시장앞1,Bongdeok Market,대구광역시,남구,봉덕1동,128.6026467,35.84461667,3,"240, 405, 564"
